,Data,Horario,Estacao,Latitude,Longitude,Banda 1,Banda 2,Banda 3,Banda 4,Banda 5,Banda 6,Banda 7,Banda 8,Banda 9,Banda 10,Banda 11,Banda 12,Banda 13,Banda 14,Banda 15,Banda 16
35,1/10/2018,1800,82487,-4.28,-39,16.09,7.87,6.44,4.5,5.11,4.19,281.59,227.19,234.1,242,267.49,243.79,269.8,265.68,261.64,248.47
36,1/10/2018,1800,82476,-4.87,-43.35,12.44,9.26,26.79,0.19,21.9,13.8,299.55,236.66,246.17,256.77,291.74,256.7,294.81,295.19,293.09,272.54
37,1/10/2018,1800,82579,-5.05,-42.82,12.82,9.11,16.85,0.19,21.01,15.65,301.81,235.3,244.39,254.87,292.89,257.31,296.04,296.21,293.99,272.7
38,1/10/2018,1800,82578,-5.08,-42.82,13.2,9.33,16.38,0.12,23.01,16.63,302.17,234.97,244.09,254.72,293.2,257.55,296.41,296.51,294.28,272.81
39,1/10/2018,1800,82586,-5.2,-39.3,15.2,12.66,18.47,0.57,22.5,17.01,302.32,230.07,238.76,248.93,290.28,255.23,294.19,293.75,291.25,269.12
40,1/10/2018,1800,82562,-5.35,-49.15,15.33,15.11,22.82,0.57,27.49,18.47,310.38,236.99,244.09,252.93,296.23,269.03,300.15,299.32,293.39,273.14
41,1/10/2018,1800,82571,-5.5,-45.23,11.93,8.34,15.14,0.19,19.77,15.52,306.4,244.26,253.92,262.4,297.58,263.31,300.22,300.64,298.45,275.79
42,1/10/2018,1800,82564,-5.53,-47.5,14.57,13.71,20.95,0.19,29.49,23.77,314.62,239.66,248.79,258.31,302.12,268.89,306.12,306.26,303.4,280.03
43,1/10/2018,1800,82590,-5.65,-37.8,56.15,51.9,55.3,30.19,31.46,35.61,269.37,224.66,226.01,226.18,227.37,224.55,228.56,227.56,226.98,225.72
44,1/10/2018,1800,82598,-5.77,-35.2,21.17,12.76,11.3,0.38,7.71,7.9,281,233.4,241.64,247.64,266.34,239.96,268.51,267.48,265.75,253.75
45,1/10/2018,1800,82533,-5.82,-61.3,12.82,16.79,21.96,3.77,28.34,23.52,323.66,249.58,264.33,283.91,315.37,286.1,316.62,317.39,316.44,297.27
46,1/10/2018,1800,82599,-5.92,-35.25,15.33,5.49,2.73,0.31,1.49,2.73,281.42,234.16,242.36,248.48,272.86,242.66,274.96,274.48,272.19,257.55
47,1/10/2018,1800,82676,-6.03,-44.23,13.42,11.58,18.22,0.25,22.76,18.73,307.92,239.61,249.51,260.61,298.31,260.81,301.2,301.77,299.7,276.61
48,1/10/2018,1800,82567,-6.12,-50,69.96,70.25,73.3,1.49,51.61,38.69,301.97,237.67,246.34,255.12,269.05,250.83,272.32,271.91,270.64,262.02
49,1/10/2018,1800,82686,-6.37,-39.3,21.93,19.42,21.58,5.07,19.04,19.11,289.16,226.77,233.04,239.9,264.82,241.9,266.66,260.83,256.7,244.78
